date
1993-03-25
1985-06-18
1971-07-08
1975-09-27
1996-02-06
1979-07-06
1978-05-18
1989-10-24
1986-03-07
1971-04-10
1985-05-11
1975-04-09
1998-08-01
1972-01-26
1990-05-24
2011-01-25
1982-04-12
1976-10-13
1998-04-24
1977-05-21
1998-07-21
1979-10-21
1990-03-03
1976-02-11
1984-07-25
1982-04-13
1989-09-22
1976-09-02
1971-09-12
1986-10-24
1985-03-31
1972-07-20
1987-04-12
1991-06-20
2012-05-12
1983-03-15
1973-02-14
1988-05-24
1986-07-27
1981-01-14
1975-07-29
1987-06-24
1994-08-14
2002-04-13
1982-08-16
1998-02-15
1991-07-15
1994-06-12
1984-09-17
1975-02-28
1975-11-22
1991-05-24
1992-06-13
1971-07-11
1986-12-26
1987-10-11
1995-03-14
1973-12-01
2010-12-05
1982-08-20
1995-07-24
1983-08-06
1992-02-22
1987-06-28
1994-07-29
1978-08-11
1991-10-29
1991-07-06
1987-01-21
1985-11-03
1982-07-04
1989-04-13
1977-07-11
1974-04-12
1981-09-19
1979-09-06
1987-12-05
1999-01-05
1980-04-22
1998-10-04
1981-06-29
1978-08-04
1974-07-07
2000-09-14
1971-05-18
1981-08-09
1993-06-05
1997-08-09
1982-12-08
1989-08-26
1995-10-13
1991-04-19
2004-04-08
1976-09-20
1990-12-08
1974-04-11
1986-07-18
1991-03-31
1972-05-13
1983-11-14
1992-08-16
1997-10-05
2002-07-18
1982-09-22
1974-02-24
1978-02-03
2006-02-11
1983-08-22
1974-05-04
2011-07-20
1995-06-17
1972-06-10
1982-10-16
1992-12-15
1997-12-08
1989-04-05
1987-12-04
1977-06-20
2006-04-27
1992-07-17
1998-12-22
1996-10-02
1990-11-05
1977-05-04
1996-02-27
2001-01-24
2004-09-10
1982-05-26
2002-06-28
1972-05-06
1987-10-25
1996-10-14
2007-11-30
1994-06-28
1981-01-14
1985-10-10
1985-02-11
1983-02-10
1992-02-05
2012-10-21
1995-02-14
2016-05-30
1996-01-22
1992-10-14
2003-10-06
1999-10-18
2004-11-11
2001-05-30
1978-02-02
1989-09-09
1980-03-12
1990-06-22
2015-09-28
1972-01-13
1974-03-06
1974-10-10
1974-05-26
1990-02-10
2000-08-23
2001-05-26
2007-10-21
2016-10-19
1974-03-05
1994-01-29
1978-10-21
1975-08-18
1996-11-11
1979-10-01
1986-10-13
1995-10-21
2011-01-24
1972-10-04
1993-08-23
2006-10-18
1988-12-04
1983-10-21
2010-05-26
1990-01-18
1985-06-15
1982-12-10
1988-12-09
1995-08-18
1974-06-13
2008-05-26
2002-11-11
1985-08-17
2016-10-13
2008-01-14
2004-03-12
1977-10-21
2000-08-10
1972-11-30
1993-05-06
1995-01-18
1990-04-11
2001-05-30
1994-02-18
1981-02-18
2013-10-11
1986-01-24
1978-07-26
1999-12-23
1989-05-15
1995-09-06
1976-03-10
1983-01-27
1990-10-23
2004-08-12
2012-09-01
1983-07-25
1989-08-11
1992-04-17
1999-07-24
1997-07-11
1974-09-10
1981-08-14
1988-11-11
2011-06-13
1989-05-14
1975-12-14
2012-06-25
1980-10-18
1998-05-15
1974-10-14
1998-07-25
1972-06-15
1991-01-07
2011-09-15
1985-09-01
2011-06-01
1986-05-01
2016-05-01
1977-07-01
1990-07-01
2003-07-01
2015-10-01
1995-05-01
1976-02-01
1995-01-01
1978-02-01
2011-05-01
2004-05-01
2010-11-01
2012-09-01
2013-01-01
1990-11-01
1981-07-01
1983-05-01
1995-07-01
1993-04-01
2005-05-01
1998-12-01
2007-01-01
2016-02-01
1979-08-01
2014-10-01
1988-08-01
2015-09-01
1976-04-01
1979-11-01
2000-02-01
1986-10-01
2002-06-01
1981-09-01
2007-06-01
1989-04-01
1999-09-01
1980-10-01
2009-12-01
1992-07-01
2006-05-01
2008-08-01
1993-02-01
2010-02-01
1985-04-01
1984-09-01
1986-04-01
2007-04-01
1974-09-01
2013-09-01
1985-07-01
2004-08-01
2012-05-01
1977-02-01
1987-01-01
1983-09-01
2013-01-01
2010-03-01
2009-08-01
2007-09-01
2011-12-01
2004-01-01
1995-11-01
2008-09-01
1983-02-01
1983-03-01
1979-08-01
2009-01-01
1993-01-01
1974-03-01
1994-01-01
1992-12-01
2004-11-01
1977-01-01
2002-03-01
2000-02-01
2004-05-01
2006-07-01
1994-02-01
1977-04-01
1992-10-01
1995-02-01
1989-02-01
1978-12-01
2007-01-01
1976-06-01
2011-05-01
1975-03-01
1978-01-01
1975-07-01
2012-11-01
1999-06-01
1991-10-01
1973-03-01
1996-10-01
2007-06-01
1995-10-01
1999-04-01
2001-05-01
2000-03-01
1988-04-01
1993-12-01
1974-06-01
1997-11-01
1986-07-01
1973-02-01
1978-03-01
2007-12-01
1998-04-01
2005-03-01
1980-05-01
2007-11-01
1976-03-01
1998-06-01
2005-06-01
1973-10-01
2005-09-01
1980-03-01
2005-12-01
1987-05-01
2004-05-01
1974-08-01
1986-03-01
1997-10-01
1993-03-01
1981-03-01
2003-09-01
1993-10-01
1983-01-01
1994-07-01
2008-12-01
1980-10-01
2003-08-01
1975-12-01
2010-11-01
1997-07-01
2014-07-01
2001-09-01
1986-08-01
1978-01-01
1975-09-01
2009-01-01
1995-05-01
1989-08-01
2000-11-01
1973-06-01
1999-02-01
2001-06-01
1978-12-01
2009-08-01
1973-07-01
2014-01-01
1975-09-01
2012-12-01
1999-05-01
1989-07-01
2009-07-01
1998-11-01
1995-03-01
2009-02-01
1988-08-01
2007-04-01
2000-05-01
2012-04-01
2001-10-01
1977-02-01
2008-08-01
1983-02-01
1979-05-01
1992-01-01
2008-11-01
2014-12-01
1974-04-01
1981-10-01
1986-10-01
1973-03-01
1994-12-01
1999-08-01
2010-10-01
1994-10-01
2007-01-01
2010-08-01
1990-03-01
2016-11-01
2004-04-01
1973-02-01
1987-07-01
2000-08-01
1975-08-01
1977-05-01
2000-03-01
1984-09-01
1973-04-01
1986-12-01
1979-04-01
2004-07-01
1984-11-01
2016-05-01
2007-12-01
1982-11-01
1981-06-01
2013-04-01
1999-04-01
2006-05-01
1978-10-01
